measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,United Kingdom,Male,50 to 54,All causes,Number,2019,8541.620612,8693.583299,8398.709733
Deaths,United Kingdom,Female,50 to 54,All causes,Number,2019,6013.032741,6115.786567,5916.812873
Deaths,United Kingdom,Male,50 to 54,All causes,Rate,2019,369.0567471,375.6225801,362.8820144
Deaths,United Kingdom,Female,50 to 54,All causes,Rate,2019,253.5710329,257.9041864,249.513418
Deaths,United Kingdom,Male,55 to 59,All causes,Number,2019,12693.60855,12921.18716,12479.53476
Deaths,United Kingdom,Female,55 to 59,All causes,Number,2019,8826.537157,8973.599953,8688.728031
Deaths,United Kingdom,Male,55 to 59,All causes,Rate,2019,587.0984708,597.6243232,577.1972362
Deaths,United Kingdom,Female,55 to 59,All causes,Rate,2019,398.9108659,405.5572942,392.6826524
Deaths,United Kingdom,Male,60 to 64,All causes,Number,2019,17434.76102,17725.87811,17161.19014
Deaths,United Kingdom,Female,60 to 64,All causes,Number,2019,11872.51091,12054.21482,11702.24738
Deaths,United Kingdom,Male,60 to 64,All causes,Rate,2019,956.2029768,972.1691853,941.1990838
Deaths,United Kingdom,Female,60 to 64,All causes,Rate,2019,630.93246,640.5886225,621.8842652
Deaths,United Kingdom,Male,65 to 69,All causes,Number,2019,24447.90947,24835.33144,24081.81925
Deaths,United Kingdom,Female,65 to 69,All causes,Number,2019,17036.90883,17271.58076,16816.61559
Deaths,United Kingdom,Male,65 to 69,All causes,Rate,2019,1502.484528,1526.294152,1479.985881
Deaths,United Kingdom,Female,65 to 69,All causes,Rate,2019,991.8392796,1005.501197,979.0144482
Deaths,United Kingdom,Male,70 to 74,All causes,Number,2019,38655.58572,39239.7942,38103.74968
Deaths,United Kingdom,Female,70 to 74,All causes,Number,2019,28335.92538,28711.59798,27981.77295
Deaths,United Kingdom,Male,70 to 74,All causes,Rate,2019,2474.834135,2512.236727,2439.504114
Deaths,United Kingdom,Female,70 to 74,All causes,Rate,2019,1666.508672,1688.602944,1645.680056
Deaths,United Kingdom,Male,75 to 79,All causes,Number,2019,43737.25459,44347.87302,43157.54126
Deaths,United Kingdom,Female,75 to 79,All causes,Number,2019,35265.61422,35715.18547,34842.42763
Deaths,United Kingdom,Male,75 to 79,All causes,Rate,2019,4130.531323,4188.197917,4075.783394
Deaths,United Kingdom,Female,75 to 79,All causes,Rate,2019,2871.974661,2908.587017,2837.511028
Deaths,United Kingdom,Male,All Ages,All causes,Number,2019,310673.1649,314530.0098,306911.7849
Deaths,United Kingdom,Female,All Ages,All causes,Number,2019,311141.4793,314705.8172,307728.9043
Deaths,United Kingdom,Male,All Ages,All causes,Rate,2019,934.1570907,945.7541627,922.8470705
Deaths,United Kingdom,Female,All Ages,All causes,Rate,2019,916.1084581,926.6031053,906.0606532
Deaths,United Kingdom,Male,80 to 84,All causes,Number,2019,52738.86408,53386.41002,52119.38399
Deaths,United Kingdom,Female,80 to 84,All causes,Number,2019,49925.04459,50489.53888,49391.70281
Deaths,United Kingdom,Male,80 to 84,All causes,Rate,2019,7258.248321,7347.367594,7172.991643
Deaths,United Kingdom,Female,80 to 84,All causes,Rate,2019,5350.692534,5411.191937,5293.531886
Deaths,United Kingdom,Male,85 to 89,All causes,Number,2019,50049.57379,50519.19745,49595.75355
Deaths,United Kingdom,Female,85 to 89,All causes,Number,2019,59506.53326,60170.31023,58878.62449
Deaths,United Kingdom,Male,85 to 89,All causes,Rate,2019,12790.87401,12910.89296,12674.89385
Deaths,United Kingdom,Female,85 to 89,All causes,Rate,2019,9864.670858,9974.70821,9760.579542
Deaths,United Kingdom,Male,90 to 94,All causes,Number,2019,32639.07485,32885.37183,32397.49518
Deaths,United Kingdom,Female,90 to 94,All causes,Number,2019,53504.69235,53976.8029,53050.10445
Deaths,United Kingdom,Male,90 to 94,All causes,Rate,2019,21703.27154,21867.0461,21542.63374
Deaths,United Kingdom,Female,90 to 94,All causes,Rate,2019,17943.78242,18102.11337,17791.32801
Deaths,United Kingdom,Male,95 plus,All causes,Number,2019,10788.72273,10864.69146,10716.70705
Deaths,United Kingdom,Female,95 plus,All causes,Number,2019,29495.09373,29684.99056,29308.93579
Deaths,United Kingdom,Male,95 plus,All causes,Rate,2019,33870.82086,34109.32205,33644.73014
Deaths,United Kingdom,Female,95 plus,All causes,Rate,2019,31017.6653,31217.36483,30821.89767
Deaths,Finland,Male,1 to 4,Prostate cancer,Number,2019,0,0,0
Deaths,Finland,Male,1 to 4,Prostate cancer,Rate,2019,0,0,0
Deaths,Finland,Male,5 to 9,Prostate cancer,Number,2019,0,0,0
Deaths,Finland,Male,5 to 9,Prostate cancer,Rate,2019,0,0,0
Deaths,Finland,Male,10 to 14,Prostate cancer,Number,2019,0,0,0
Deaths,Finland,Male,10 to 14,Prostate cancer,Rate,2019,0,0,0
Deaths,Finland,Male,15 to 19,Prostate cancer,Number,2019,0,0,0
Deaths,Finland,Male,15 to 19,Prostate cancer,Rate,2019,0,0,0
Deaths,Finland,Male,20 to 24,Prostate cancer,Number,2019,0.044888105,0.078698635,0.031131355
Deaths,Finland,Male,20 to 24,Prostate cancer,Rate,2019,0.027943033,0.048990229,0.019379399
Deaths,Finland,Male,25 to 29,Prostate cancer,Number,2019,0.073315764,0.116627591,0.052761656
Deaths,Finland,Male,25 to 29,Prostate cancer,Rate,2019,0.040265354,0.064052408,0.028976944
Deaths,Finland,Male,30 to 34,Prostate cancer,Number,2019,0.093936919,0.140355494,0.072360066
Deaths,Finland,Male,30 to 34,Prostate cancer,Rate,2019,0.052301693,0.078146377,0.040288249
Deaths,Finland,Male,35 to 39,Prostate cancer,Number,2019,0.134055176,0.187506194,0.098499448
Deaths,Finland,Male,35 to 39,Prostate cancer,Rate,2019,0.072083454,0.100824859,0.052964613
Deaths,Finland,Male,40 to 44,Prostate cancer,Number,2019,0.293691482,0.440876416,0.202527757
Deaths,Finland,Male,40 to 44,Prostate cancer,Rate,2019,0.164759397,0.247329381,0.113617021
Deaths,Finland,Male,45 to 49,Prostate cancer,Number,2019,1.359869045,1.946648984,0.903955327
Deaths,Finland,Male,45 to 49,Prostate cancer,Rate,2019,0.849566926,1.216152835,0.564738606
Deaths,Finland,Male,50 to 54,Prostate cancer,Number,2019,5.618392855,7.867887706,3.894252987
Deaths,Finland,Male,50 to 54,Prostate cancer,Rate,2019,3.136620303,4.392461859,2.174072426
